"","knapper","assessment","hours","variable","value","sqrt_hours","score_median","score_relative_median"
"140",15,"7",71,"spline",3.55106931512143,8.42614977317636,3.38165784061253,0.1694114745089
"141",3,"8",82,"spline",3.71085640466424,9.05538513813742,3.55797528018437,0.15288112447987
"142",6,"8",82,"spline",3.70824924269452,9.05538513813742,3.55797528018437,0.15027396251015
"143",8,"8",82,"spline",4.01318558289103,9.05538513813742,3.55797528018437,0.45521030270666
"144",10,"8",82,"spline",3.37356842574135,9.05538513813742,3.55797528018437,-0.18440685444302
"145",13,"8",82,"spline",3.28873113081023,9.05538513813742,3.55797528018437,-0.26924414937414
"146",15,"8",82,"spline",3.55797528018437,9.05538513813742,3.55797528018437,0
"147",17,"8",82,"spline",3.6029807692856,9.05538513813742,3.55797528018437,0.0450054891012304
"148",3,"9",93,"spline",2.54672835722513,9.64365076099295,3.47439333333334,-0.92766497610821
"149",6,"9",93,"spline",3.0985477992196,9.64365076099295,3.47439333333334,-0.37584553411374
"150",8,"9",93,"spline",4.10520482089646,9.64365076099295,3.47439333333334,0.63081148756312
"151",13,"9",93,"spline",3.37592924899381,9.64365076099295,3.47439333333334,-0.0984640843395299
"152",15,"9",93,"spline",3.56457467016364,9.64365076099295,3.47439333333334,0.0901813368302999
"153",17,"9",93,"spline",3.34849467451833,9.64365076099295,3.47439333333334,-0.12589865881501
