"","knapper","assessment","width_0.1","width_0.2","width_0.3","width_0.4","width_0.5","width_0.6","width_0.7","width_0.8","width_0.9","thickness_0.1","thickness_0.2","thickness_0.3","thickness_0.4","thickness_0.5","thickness_0.6","thickness_0.7","thickness_0.8","thickness_0.9","max_length"
"12",10,5,0.799224139627522,1.19316865831429,1.53670180118728,1.69768013933818,1.87735145313601,1.89465239868157,1.89176890775731,1.67322018184274,1.34261303276815,0.276566160465566,0.430840362644589,0.573683946443436,0.742794464944673,0.815958251768473,0.889082892638916,0.905093587561834,0.644538122019186,0.40684389323689,3.04158577148618
"13",10,9,0.478377277368926,0.896248337837435,1.30824435269173,1.7905383271368,1.99359881175684,2.21421690395959,2.22792534372609,2.12244463970996,1.71828201900795,0.221145033120814,0.400044399298976,0.563603457216655,0.682630424430154,0.886095552883338,0.886095552883338,0.83236459448743,0.744815833479154,0.514471932666611,3.25693620659279
"14",11,1,1.12781259556441,1.31771898406606,1.43368569513456,1.70933188254649,1.86395416397116,1.86651182576916,1.66899058055074,1.15803950772262,0.600062335017597,0.290757812666562,0.532701267645774,0.810917932627072,0.803022502058795,0.85378211075572,0.795104186184523,0.692257621042962,0.698848589169524,0.85181397444015,2.4117588181614
"15",11,2,0.457805881330287,0.609023472782168,0.797693189630418,1.04428391625009,1.33596551859449,1.60398924370832,1.90531198724387,2.23229499887278,1.45818552384839,0.269321279064568,0.448567086976253,0.65099601452988,0.77050295243223,0.87841833051361,1.04338637330576,1.19232477795758,1.32786135400026,0.984523439806827,3.74224603465516
"16",11,3,0.63430150372159,0.858311085388446,1.05682045197939,1.17215988632274,1.30920719606405,1.47090471371208,1.51438584967485,1.64005614038229,1.58147103087456,0.378976545878834,0.54249094741547,0.66909104608631,0.724900117643525,0.751646254796636,0.879018619217807,0.945047340871061,1.06770888421522,0.804314778969173,3.66614630591378
"17",11,4,0.662479583721231,1.04373655215205,1.20841242587582,1.22230075257541,1.2972465155488,1.34262358296821,1.3712962574448,1.3879366488821,1.33609542940435,0.456602866800972,0.661080117730275,0.78560588163571,0.931650261966732,1.03312036541618,0.956242966453115,0.813272674182891,0.727173011037429,0.519621672047329,3.29607753469649
"18",11,5,0.571289127914761,0.966356462684971,1.09880914750439,1.3259176422905,1.61332115172262,1.80844138229354,1.69963219711144,1.51277491970097,1.16736711531086,0.310980013892965,0.549134982585309,0.696749835373652,0.818758358690747,1.02541271075054,1.10020251833826,0.889618641504266,0.774470681932298,0.521563890726958,3.59479368188094
"19",11,6,0.844453790676292,0.972675605980838,1.20124230545078,1.41846514549613,1.51790493449466,1.50565597990322,1.57546898710668,1.28933823502472,1.1227403846455,0.392065370965489,0.591708934804193,0.730585216836685,0.707447088424156,0.810167075339738,0.885377870569788,1.02862521587528,0.969307036567187,0.717567050132305,2.22774090402063
"20",11,7,0.701001385571476,1.11455081115903,1.42447265950374,1.47466033778327,1.56121375643618,1.60290131247396,1.49069969888291,1.33895403834113,1.02585388341908,0.395353169381589,0.843231914409709,0.947410064445487,0.970573697805398,0.884204773418193,0.810290666968228,0.687401189984682,0.565413814300329,0.430971620678738,3.23226387505701
"21",11,8,0.565328354512788,0.677348969364839,0.801287920073791,1.2409747044695,1.4107082461557,1.47435098541127,1.64414323811155,1.55331729934,1.40988629195868,0.517627735889671,0.594899751656357,0.729056730271328,0.924305523924094,1.09637040138961,1.24037418787673,1.09637040138961,0.870933976091226,0.555558749312684,2.34256946152874
